ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT,image
0.415888667,0.473045141,0.519138813,0.417081237,0.4934223,0.480626166,0.633891463,0.436427832,test_stg2/image_06660.jpg
0.589045048,0.488427222,0.554229558,0.52142781,0.434408516,0.385950208,0.829499066,0.415480822,test_stg2/image_06384.jpg
0.59517777,0.592336714,0.550986946,0.738626182,0.321757823,0.452552855,0.670247674,0.507364094,test_stg2/image_04779.jpg
0.503846586,0.553070307,0.628683269,0.565785289,0.528898001,0.648758292,0.508278906,0.532168984,test_stg2/image_07274.jpg
0.246143416,0.618934572,0.35348013,0.479901254,0.237154052,0.421422422,0.66355294,0.276314259,test_stg2/image_10718.jpg
0.481635332,0.388619363,0.409652412,0.325090826,0.540668905,0.368049502,0.750003278,0.549597025,test_stg2/image_11229.jpg
0.435645908,0.532738209,0.661918044,0.393713176,0.307435632,0.454969823,0.739854157,0.365311176,test_stg2/image_03226.jpg
0.460197747,0.641772568,0.508089006,0.573093235,0.531943798,0.430935711,0.510029197,0.275957525,test_stg2/image_07674.jpg
0.577467203,0.54367435,0.549378574,0.208042949,0.430218548,0.488934278,0.662574112,0.587558866,test_stg2/image_10511.jpg
0.497183681,0.576306045,0.611488581,0.493283868,0.479368538,0.48259449,0.652917802,0.419801533,test_stg2/image_02875.jpg
0.566694617,0.468525738,0.553593934,0.399686158,0.499065906,0.343998373,0.624093294,0.268387735,test_stg2/image_04150.jpg
0.527466774,0.594272554,0.612428963,0.405571103,0.407635838,0.422031015,0.497379601,0.541681468,test_stg2/image_00816.jpg
0.489995509,0.570922852,0.419893324,0.334289253,0.622571647,0.480898082,0.624348342,0.496670395,test_stg2/image_02351.jpg
0.535999179,0.535835981,0.516585469,0.532083571,0.586734235,0.528202057,0.630474269,0.452439308,test_stg2/image_06744.jpg
0.559358716,0.603641748,0.467052728,0.492019534,0.392583758,0.463320524,0.606256068,0.430247575,test_stg2/image_03121.jpg
0.393567771,0.66342473,0.567153633,0.397243738,0.349988937,0.239533544,0.717324734,0.498297065,test_stg2/image_11416.jpg
0.616682768,0.60746336,0.597950876,0.431774974,0.339965641,0.633582115,0.556547999,0.434019208,test_stg2/image_10346.jpg
0.403759331,0.407811582,0.633824289,0.420466274,0.464528292,0.497948021,0.607497036,0.343026966,test_stg2/image_08429.jpg
0.491660982,0.613617361,0.480117917,0.478542984,0.405316234,0.484687328,0.673317432,0.364702195,test_stg2/image_02259.jpg
0.492436707,0.412173092,0.487582207,0.43971464,0.54445672,0.397160411,0.608960986,0.568642735,test_stg2/image_07248.jpg
0.544044495,0.77610755,0.678411126,0.348467648,0.409421772,0.388835371,0.393298507,0.475673974,test_stg2/image_06913.jpg
0.442166954,0.535432756,0.652571082,0.528476477,0.258778095,0.416644216,0.648495674,0.329797715,test_stg2/image_06514.jpg
0.436944842,0.439290345,0.615694344,0.489789784,0.472261995,0.565594435,0.629621267,0.456333607,test_stg2/image_03966.jpg
0.483601183,0.620217144,0.603956282,0.439030528,0.47802785,0.475970596,0.583647728,0.424063116,test_stg2/image_04177.jpg
0.626906276,0.608936191,0.57771343,0.68792516,0.241588727,0.548498273,0.433416843,0.550331235,test_stg2/image_01886.jpg
0.488095224,0.709943652,0.480195761,0.538658261,0.249873325,0.40442729,0.61766547,0.442463458,test_stg2/image_11896.jpg
0.509762108,0.575386882,0.505505502,0.49819681,0.440960586,0.498136282,0.607246339,0.511101484,test_stg2/image_07592.jpg
0.559355259,0.500173151,0.460874498,0.380506039,0.450168967,0.403637648,0.56404388,0.53711623,test_stg2/image_08282.jpg
0.579680622,0.557991266,0.593899369,0.527925968,0.501887083,0.502285361,0.625630856,0.385853112,test_stg2/image_10063.jpg
0.457195163,0.613704026,0.499438167,0.503400743,0.429848284,0.390474379,0.668022811,0.38253814,test_stg2/image_08999.jpg
0.548331082,0.559484959,0.505475461,0.388778627,0.594999731,0.530433416,0.487789512,0.680314302,test_stg2/image_01365.jpg
0.512581348,0.543952107,0.628000915,0.548058331,0.372692108,0.473931223,0.655938864,0.320795834,test_stg2/image_11065.jpg
0.341475844,0.626837254,0.403601408,0.572084069,0.677272797,0.553331494,0.706055462,0.526121378,test_stg2/image_01107.jpg
0.551290512,0.550493538,0.603994668,0.568460703,0.479275137,0.543643236,0.485345185,0.520676792,test_stg2/image_04694.jpg
0.52136004,0.492545784,0.587369084,0.509995461,0.372126371,0.504403353,0.511182547,0.338803291,test_stg2/image_04091.jpg
0.489032388,0.629353166,0.535389364,0.42722708,0.39755258,0.584682226,0.585282207,0.434724748,test_stg2/image_03218.jpg
0.553642511,0.551267684,0.49169898,0.422615051,0.487034529,0.536583543,0.612413287,0.3154082,test_stg2/image_11228.jpg
0.720959187,0.530489683,0.527903497,0.445284545,0.542908788,0.550003588,0.428498924,0.454250753,test_stg2/image_02879.jpg
0.623558402,0.641005218,0.598857045,0.496071279,0.341679454,0.392265171,0.837580144,0.608152866,test_stg2/image_10148.jpg
0.493145317,0.487942338,0.509391785,0.525607109,0.40818575,0.545075238,0.574056029,0.406887531,test_stg2/image_02282.jpg
0.579951167,0.652186394,0.596720636,0.494450599,0.375827312,0.511746645,0.583713174,0.475053251,test_stg2/image_09221.jpg
0.537428737,0.669904351,0.605519116,0.490629137,0.452806234,0.445893258,0.505141735,0.569268942,test_stg2/image_06843.jpg
0.739785314,0.546652913,0.373516113,0.467723876,0.507472992,0.257433981,0.368773371,0.404888749,test_stg2/image_03820.jpg
0.545776963,0.502804637,0.613420606,0.40854156,0.50456363,0.552952766,0.532621026,0.36745736,test_stg2/image_03839.jpg
0.827649593,0.650081396,0.546447515,0.312088609,0.599931598,0.381900847,0.543728232,0.357634008,test_stg2/image_11951.jpg
0.603377223,0.717988014,0.530766368,0.58120364,0.686576426,0.310778856,0.649865806,0.433194786,test_stg2/image_01929.jpg
0.477539748,0.529979229,0.462543994,0.321045399,0.411423892,0.432569593,0.700847983,0.530352831,test_stg2/image_09130.jpg
0.460997373,0.5606668,0.571953714,0.433440417,0.363612175,0.45138973,0.559260964,0.328803033,test_stg2/image_04739.jpg
0.520918548,0.51355207,0.460076571,0.29261297,0.563652873,0.556873024,0.605966806,0.531599164,test_stg2/image_03818.jpg
0.656918883,0.718034923,0.581287384,0.505204916,0.508015454,0.465843081,0.666995645,0.395152271,test_stg2/image_02398.jpg
0.560857296,0.56980592,0.529164553,0.673900187,0.443416148,0.298874259,0.680130839,0.48281008,test_stg2/image_05581.jpg
0.469347149,0.319287449,0.696951091,0.537285447,0.529084861,0.581057012,0.572902381,0.400288224,test_stg2/image_10020.jpg
0.596311092,0.514359832,0.674483895,0.456417531,0.433805048,0.527906179,0.648650348,0.463316321,test_stg2/image_05177.jpg
0.833403111,0.531180561,0.24439472,0.397765964,0.460529864,0.453511775,0.789829969,0.421067804,test_stg2/image_11606.jpg
0.55859834,0.531992853,0.423217356,0.408567339,0.497588009,0.430067033,0.678190351,0.546632469,test_stg2/image_11132.jpg
0.557171345,0.598453224,0.620483458,0.355019957,0.397863507,0.501241148,0.561055899,0.43791759,test_stg2/image_10947.jpg
0.482344389,0.446003795,0.49197945,0.482962251,0.408900708,0.494631439,0.609285414,0.482262492,test_stg2/image_06546.jpg
0.505165935,0.502059221,0.476366639,0.462390006,0.252789438,0.48715362,0.65496242,0.280030936,test_stg2/image_04329.jpg
0.33862713,0.577573657,0.436286867,0.559031367,0.34803158,0.384660214,0.633474827,0.38158825,test_stg2/image_11309.jpg
0.596390128,0.503470182,0.628322423,0.40356487,0.382249624,0.538984954,0.547754228,0.378459871,test_stg2/image_06216.jpg
0.463630021,0.520531237,0.318891704,0.430458844,0.566296935,0.497501493,0.831905007,0.39724192,test_stg2/image_11374.jpg
0.737008393,0.750859141,0.506420791,0.58197093,0.387088001,0.472276807,0.382002175,0.247970909,test_stg2/image_02316.jpg
0.654069841,0.588460982,0.715258121,0.529557824,0.527622223,0.557432294,0.653620422,0.343626499,test_stg2/image_11149.jpg
0.581975758,0.502031863,0.569620967,0.378372163,0.464778006,0.485260785,0.652971983,0.511579692,test_stg2/image_11351.jpg
0.497809678,0.495753109,0.349584848,0.383256316,0.421909213,0.451150864,0.606688082,0.417031229,test_stg2/image_04348.jpg
0.504270077,0.574888885,0.599030674,0.558230996,0.146986455,0.54736495,0.509517491,0.451586187,test_stg2/image_02078.jpg
0.369970322,0.621925473,0.40261361,0.362467408,0.506640613,0.433579177,0.789759576,0.391695797,test_stg2/image_11531.jpg
0.505051136,0.637756824,0.697886825,0.537921667,0.427075654,0.389236391,0.421376497,0.483483315,test_stg2/image_00415.jpg
0.589629292,0.431925297,0.669292688,0.549780905,0.642929196,0.415249467,0.566516995,0.258509517,test_stg2/image_08123.jpg
0.449139059,0.601036787,0.466271281,0.451927543,0.322293252,0.447264612,0.49787426,0.437984377,test_stg2/image_05304.jpg
0.575733364,0.619458675,0.597656429,0.415810257,0.478682041,0.457656145,0.639823139,0.404087842,test_stg2/image_02347.jpg
0.454691052,0.588213086,0.547892928,0.348806471,0.47467491,0.46889773,0.637619913,0.382109076,test_stg2/image_02837.jpg
0.27500084,0.413584769,0.439035803,0.473778188,0.344718784,0.345409691,0.883119226,0.257691264,test_stg2/image_01254.jpg
0.575548887,0.668254852,0.558489382,0.567282081,0.325125605,0.426769853,0.57947892,0.525492549,test_stg2/image_05113.jpg
0.547796667,0.624125004,0.583138168,0.410476029,0.47537145,0.391204774,0.902900457,0.443313092,test_stg2/image_09448.jpg
0.563747942,0.558297575,0.563619018,0.541915953,0.351082563,0.464176476,0.536446273,0.367419541,test_stg2/image_11654.jpg
0.550801933,0.403782129,0.589487731,0.605760455,0.474778116,0.429899752,0.461925566,0.304722458,test_stg2/image_07393.jpg
0.535760343,0.611514807,0.451450348,0.457772315,0.336486757,0.567380369,0.660027146,0.413709134,test_stg2/image_09972.jpg
0.475901723,0.616256833,0.565394521,0.466228604,0.438426137,0.426169634,0.666596532,0.405319422,test_stg2/image_02456.jpg
0.62566191,0.617869914,0.482704222,0.616606176,0.247520208,0.484600753,0.659277022,0.354594141,test_stg2/image_09331.jpg
0.483177453,0.60495311,0.540989578,0.566222847,0.483894676,0.469434321,0.645504236,0.499768138,test_stg2/image_10579.jpg
0.409492552,0.630348861,0.570469141,0.490013123,0.364350051,0.509169698,0.619120002,0.383079469,test_stg2/image_05230.jpg
0.531245887,0.452456772,0.543129504,0.578103483,0.397011846,0.43681851,0.693868995,0.453192055,test_stg2/image_12082.jpg
0.498656809,0.297839254,0.678705871,0.509905875,0.477096617,0.389203131,0.600551069,0.321435958,test_stg2/image_03311.jpg
0.510629416,0.644775808,0.625611067,0.379073322,0.468756199,0.509542108,0.760454416,0.493665934,test_stg2/image_06474.jpg
0.54167074,0.702910364,0.470892638,0.401081562,0.416115135,0.457831919,0.62908119,0.510254502,test_stg2/image_03885.jpg
